angle_deg,Bn_T,Bt_T
0.000000000000000000e+00,5.259745252045159303e-01,1.897907805162525087e-03
1.000000000000000000e+00,5.169975487748241783e-01,1.239729805580668323e-02
2.000000000000000000e+00,4.866691685556885361e-01,4.862238019705808489e-02
3.000000000000000000e+00,4.649914345525397175e-01,1.281269565330042937e-01
4.000000000000000000e+00,5.058246887176299778e-01,2.536887235876764679e-01
5.000000000000000000e+00,6.207528842832636951e-01,3.864846803854852797e-01
6.000000000000000000e+00,7.259001045615374181e-01,2.912727609094882819e-01
7.000000000000000000e+00,2.310925094713011940e-01,1.924472480706297395e-01
8.000000000000000000e+00,-1.884595300894068015e-02,9.410031664522491845e-02
9.000000000000000000e+00,-2.485973339058564213e-01,1.693821287992496871e-01
1.000000000000000000e+01,-7.007285041834161454e-01,1.352511666971689397e-01
1.100000000000000000e+01,-8.634160190108957078e-01,5.122687168700736093e-02
1.200000000000000000e+01,-9.353919223440115838e-01,3.738301181636177750e-02
1.300000000000000000e+01,-1.008931049779627775e+00,5.916259656696129521e-02
1.400000000000000000e+01,-1.033481375737704377e+00,2.388564792172061801e-01
1.500000000000000000e+01,-7.555247059040813840e-01,3.571444887474741758e-01
1.600000000000000000e+01,-5.942175902291362277e-01,2.178842684832477672e-01
1.700000000000000000e+01,-5.571410746481381127e-01,8.503656759702094003e-02
1.800000000000000000e+01,-5.889141409503980684e-01,2.041954394624048708e-02
1.900000000000000000e+01,-6.058360238363826866e-01,4.419481362248317557e-03
2.000000000000000000e+01,-6.016980784072237798e-01,-8.929277058272927503e-03
2.100000000000000000e+01,-5.701899483146705139e-01,-3.362724732323313370e-02
2.200000000000000000e+01,-5.167695692242998406e-01,-9.771303130728117847e-02
2.300000000000000000e+01,-5.040938678312415488e-01,-2.394638252386194488e-01
2.400000000000000000e+01,-4.637979513210845339e-01,-4.319559484509094549e-01
2.500000000000000000e+01,-2.533519696783220199e-01,-5.139010459865260838e-01
2.600000000000000000e+01,-2.163404872567782355e-01,-1.995934196304280650e-01
2.700000000000000000e+01,7.254544411993653352e-02,-1.989874312729273398e-01
2.800000000000000000e+01,5.346347863396296862e-01,-1.393087327564558886e-01
2.900000000000000000e+01,7.103344289597031125e-01,-4.739221391386039262e-02
3.000000000000000000e+01,7.698972460972333121e-01,-2.211359445846539096e-02
3.100000000000000000e+01,8.013349604513073654e-01,-1.159581646191154558e-02
3.200000000000000000e+01,8.225464617210038742e-01,-1.269860018822477343e-02
3.300000000000000000e+01,8.554149478147852204e-01,-2.803485553960588517e-02
3.400000000000000000e+01,9.000476218816068075e-01,-1.524337176716676900e-01
3.500000000000000000e+01,6.582464037765055620e-01,-2.405864191011905517e-01
3.600000000000000000e+01,5.628557890782961426e-01,-1.035570238536995258e-01
3.700000000000000000e+01,5.889267918956898606e-01,-2.578864081200599179e-02
3.800000000000000000e+01,6.009444072950287374e-01,1.014028693193114172e-03
3.900000000000000000e+01,5.865208869579712214e-01,2.016367013102410288e-02
4.000000000000000000e+01,5.347000949767244382e-01,7.287755560530248533e-02
4.100000000000000000e+01,4.747881438693644096e-01,1.754375697849604454e-01
4.200000000000000000e+01,4.020976667829474493e-01,3.646849694535962416e-01
4.300000000000000000e+01,1.090319696950244888e-01,4.677807367939312289e-01
4.400000000000000000e+01,3.711870125798033548e-02,3.487953770744258164e-01
4.500000000000000000e+01,-3.322422084246715035e-02,3.786418840314432765e-01
4.600000000000000000e+01,-4.394074151938446304e-01,1.798016929606288394e-01
4.700000000000000000e+01,-6.416684901508076244e-01,5.242489634111446861e-02
4.800000000000000000e+01,-7.118879633737249524e-01,2.066125469592927644e-02
4.900000000000000000e+01,-7.455862113096900501e-01,1.113063333006797384e-02
5.000000000000000000e+01,-7.595171853473829948e-01,5.488241017611694694e-03
5.100000000000000000e+01,-7.677468475867537112e-01,4.196119260965414099e-03
5.200000000000000000e+01,-7.771140930915431122e-01,6.429149908765918742e-03
5.300000000000000000e+01,-7.961803064689956244e-01,1.645975668323879093e-02
5.400000000000000000e+01,-8.292114092475063591e-01,1.009389307939462799e-01
5.500000000000000000e+01,-6.376630936638607583e-01,1.450602762637441812e-01
5.600000000000000000e+01,-6.114872294917116369e-01,2.797213910102469558e-02
5.700000000000000000e+01,-6.207862736259870395e-01,-6.976719230552153039e-03
5.800000000000000000e+01,-5.874861543043227163e-01,-3.774197107269308682e-02
5.900000000000000000e+01,-4.996185811503627283e-01,-1.072775821035847343e-01
6.000000000000000000e+01,-3.855730610070786657e-01,-3.008733096000458240e-01
6.100000000000000000e+01,-7.646815938780252009e-02,-4.001788091065034969e-01
6.200000000000000000e+01,1.811897797593797765e-02,-3.081742347050093200e-01
6.300000000000000000e+01,1.129567851680546298e-01,-3.567351041448376114e-01
6.400000000000000000e+01,4.879965364889133905e-01,-1.979209672639103412e-01
6.500000000000000000e+01,6.897805362056723677e-01,-5.789409232357606294e-02
6.600000000000000000e+01,7.586352064861189293e-01,-2.139369994319334500e-02
6.700000000000000000e+01,7.895403333740262930e-01,-8.094129212468659240e-03
6.800000000000000000e+01,8.022013019807553436e-01,-1.908616484418312886e-03
6.900000000000000000e+01,8.093681119171898253e-01,-1.216123196623730696e-03
7.000000000000000000e+01,8.122211890614119412e-01,-8.898283530678341435e-04
7.100000000000000000e+01,8.142504537929026176e-01,-1.775961193074493405e-03
7.200000000000000000e+01,8.165279322048626387e-01,-3.446901951495356942e-03
7.300000000000000000e+01,8.223962876963065716e-01,-8.193664715308246471e-03
7.400000000000000000e+01,8.279842822665441915e-01,-5.351583640426871291e-02
7.500000000000000000e+01,7.202931125143579028e-01,-3.638248415927988755e-02
7.600000000000000000e+01,7.037757160795978795e-01,1.406257431201712871e-02
7.700000000000000000e+01,6.282815476342935579e-01,7.572756128084968952e-02
7.800000000000000000e+01,4.530268824051985055e-01,2.351416282619284148e-01
7.900000000000000000e+01,1.136728251233159320e-01,3.655279729523612797e-01
8.000000000000000000e+01,1.308159669671111330e-02,2.977182322002306369e-01
8.100000000000000000e+01,-8.775223651270017133e-02,3.544306115355431719e-01
8.200000000000000000e+01,-4.207309718992497949e-01,2.470286095281613303e-01
8.300000000000000000e+01,-5.950284057129845428e-01,6.872793544420577327e-02
8.400000000000000000e+01,-6.711641450560041910e-01,1.816499220603802478e-02
8.500000000000000000e+01,-6.948912242524509786e-01,-2.087805818391295226e-02
8.600000000000000000e+01,-7.754782293734453491e-01,-3.333062610766450440e-02
8.700000000000000000e+01,-7.733231264329309962e-01,-4.820090344665940718e-03
8.800000000000000000e+01,-7.701235610139021137e-01,-2.520190438747103162e-03
8.900000000000000000e+01,-7.685552573929025355e-01,-9.789136646537587721e-04
9.000000000000000000e+01,-7.668597573052743366e-01,-7.569732643903174510e-04
9.100000000000000000e+01,-7.639208776741497342e-01,-1.327672943769762220e-03
9.200000000000000000e+01,-7.576872307124100647e-01,-3.546581144329190999e-03
9.300000000000000000e+01,-7.440055255601174533e-01,-9.668571860851134236e-03
9.400000000000000000e+01,-7.131847818601567690e-01,-2.145417359594550821e-02
9.500000000000000000e+01,-6.331900210648804261e-01,-5.874208016797441423e-02
9.600000000000000000e+01,-4.480354000747696075e-01,-2.182954225309374496e-01
9.700000000000000000e+01,-9.114556030647255613e-02,-3.604073366669650058e-01
9.800000000000000000e+01,8.583789585996925986e-03,-3.107880050874782252e-01
9.900000000000000000e+01,1.034457230100817304e-01,-4.030813452222808402e-01
1.000000000000000000e+02,4.257302156989489217e-01,-2.972002755587648259e-01
1.010000000000000000e+02,5.563887053857192733e-01,-9.004939389986643672e-02
1.020000000000000000e+02,6.365676869660221726e-01,-2.699226734218733437e-02
1.030000000000000000e+02,6.639468622414924637e-01,-4.454600923575469107e-04
1.040000000000000000e+02,6.417592169226697951e-01,4.196227393433266117e-02
1.050000000000000000e+02,7.042290476405005384e-01,1.950852982343359299e-01
1.060000000000000000e+02,9.266455077030737453e-01,1.355538628049349770e-01
1.070000000000000000e+02,8.933260794969382079e-01,2.231712711505448588e-02
1.080000000000000000e+02,8.684763313198026191e-01,9.019153669721502453e-03
1.090000000000000000e+02,8.562535329825156083e-01,4.895503948543489248e-03
1.100000000000000000e+02,8.478390946874621026e-01,5.489883845887999492e-03
1.110000000000000000e+02,8.331763164010604905e-01,9.341027351440378546e-03
1.120000000000000000e+02,8.037862292407216280e-01,2.069439912621040545e-02
1.130000000000000000e+02,7.379954442129756931e-01,5.556514598070605437e-02
1.140000000000000000e+02,5.443476788052541426e-01,1.646128897859528151e-01
1.150000000000000000e+02,1.097699218846318325e-01,3.198662476154340295e-01
1.160000000000000000e+02,1.526881583600135650e-02,3.139592292446690136e-01
1.170000000000000000e+02,-6.836549020677273880e-02,4.120403573920867757e-01
1.180000000000000000e+02,-3.599393316774599505e-01,3.486310951553325821e-01
1.190000000000000000e+02,-4.457206357539176822e-01,1.648347681677916343e-01
1.200000000000000000e+02,-5.054836888955638319e-01,5.600029962917327242e-02
1.210000000000000000e+02,-5.567051857249508684e-01,1.640375287943729443e-02
1.220000000000000000e+02,-5.693652048807559263e-01,-6.057397876146897175e-05
