rotor_angle_deg,cogging_torque_nm
0.000000000000000000e+00,7.420013992607001410e-03
2.777777777777777901e-01,-4.736465533175656870e-03
5.555555555555555802e-01,-2.113015307446600068e-03
8.333333333333333703e-01,-2.885116449135059075e-02
1.111111111111111160e+00,1.703886902366145983e-02
1.388888888888888840e+00,1.493924216742058969e-02
1.666666666666666741e+00,1.019210409101971998e-02
1.944444444444444642e+00,-1.465306927196977950e-02
2.222222222222222321e+00,-8.656343028618569690e-03
2.500000000000000000e+00,1.328830603275023064e-03
2.777777777777777679e+00,-1.208609338604646997e-02
3.055555555555555802e+00,5.727097993676452323e-03
3.333333333333333481e+00,2.088407619907289153e-02
3.611111111111111160e+00,1.278389054656429991e-02
3.888888888888889284e+00,4.717553698658558288e-03
4.166666666666666963e+00,1.107900757062628069e-02
4.444444444444444642e+00,-1.152935620617011022e-03
4.722222222222222321e+00,-1.115800525185152957e-02
5.000000000000000000e+00,1.698626832207893048e-03
5.277777777777777679e+00,4.017801240240138905e-02
5.555555555555555358e+00,2.849451943500053847e-02
5.833333333333333925e+00,1.417892401013681920e-02
6.111111111111111605e+00,1.018732063996907050e-02
6.388888888888889284e+00,4.448840111740383352e-03
6.666666666666666963e+00,-1.551266880667536915e-02
6.944444444444444642e+00,-1.116613786766620063e-02
7.222222222222222321e+00,3.053843244470896834e-02
7.500000000000000000e+00,7.611071349991594369e-03
7.777777777777778567e+00,1.367169304455056057e-04
8.055555555555555358e+00,3.495710205273131789e-03
8.333333333333333925e+00,6.799114700975975381e-03
8.611111111111110716e+00,2.314938543421396911e-04
8.888888888888889284e+00,6.358713651769113719e-04
9.166666666666667851e+00,1.800020534567646144e-02
9.444444444444444642e+00,2.149125563031885865e-03
9.722222222222223209e+00,-9.845490491413240106e-03
1.000000000000000000e+01,1.989264940570172058e-02
1.027777777777777857e+01,-1.695619528966920905e-02
1.055555555555555536e+01,2.890020468366158880e-03
1.083333333333333393e+01,-9.922324900671816370e-03
1.111111111111111072e+01,1.350706676931285981e-02
1.138888888888888928e+01,2.181657586351909081e-02
1.166666666666666785e+01,2.916376593903739073e-02
1.194444444444444464e+01,8.420268531000118725e-03
1.222222222222222321e+01,-1.227246529333047079e-02
1.250000000000000000e+01,-1.536311560372398931e-03
1.277777777777777857e+01,-2.962345678086092046e-02
1.305555555555555536e+01,7.980607850042781629e-03
1.333333333333333393e+01,3.755268518832818175e-02
1.361111111111111249e+01,9.720318349377025935e-03
1.388888888888888928e+01,-1.895869865524297052e-02
1.416666666666666785e+01,-3.957453829418982813e-03
1.444444444444444464e+01,-4.605206284818467305e-02
1.472222222222222321e+01,-2.788851070708795940e-02
1.500000000000000000e+01,2.841034052278707932e-03
1.527777777777777857e+01,3.321934798632073665e-02
1.555555555555555713e+01,1.422349527736456974e-02
1.583333333333333393e+01,-1.703778398521973991e-02
1.611111111111111072e+01,4.012279519553492782e-03
1.638888888888888928e+01,-8.858687619181045483e-03
1.666666666666666785e+01,-1.826445554715782141e-02
1.694444444444444642e+01,-1.147205914031924033e-02
1.722222222222222143e+01,1.426520318188397030e-02
1.750000000000000000e+01,2.362954621587083984e-02
1.777777777777777857e+01,-9.740315827608899205e-03
1.805555555555555713e+01,-2.773487586303804812e-04
1.833333333333333570e+01,1.133122559250510954e-02
1.861111111111111072e+01,-1.413063019755615018e-02
1.888888888888888928e+01,-1.522032680525185061e-02
1.916666666666666785e+01,2.798049456646357902e-02
1.944444444444444642e+01,5.950911607555797907e-03
1.972222222222222143e+01,1.428377138221973049e-02
