rotor_angle_deg,Ld_mH,Lq_mH
0.000000000000000000e+00,6.690728574866796619e-01,3.321488959960001353e+01
9.729729729729730270e-01,5.814734567453164749e-01,3.324445745965230259e+01
1.945945945945946054e+00,5.395492302915014804e-01,3.318979829307001950e+01
2.918918918918919303e+00,6.466725036860786480e-01,3.325869165049913789e+01
3.891891891891892108e+00,7.796872385347868306e-01,3.320520372454845415e+01
4.864864864864864913e+00,7.795249987493895194e-01,3.323822523175229549e+01
5.837837837837838606e+00,6.863313510664741379e-01,3.321173530567650545e+01
6.810810810810811411e+00,5.945160112439337174e-01,3.323820144783675090e+01
7.783783783783784216e+00,5.317987592466019153e-01,3.319468959040639078e+01
8.756756756756757909e+00,6.167996572109858411e-01,3.324627758046892723e+01
9.729729729729729826e+00,7.771715802332180845e-01,3.320697091796562006e+01
1.070270270270270352e+01,7.956723852470283243e-01,3.322375893024975824e+01
1.167567567567567721e+01,6.985563474699088005e-01,3.321921571717081889e+01
1.264864864864864913e+01,6.093582531697845361e-01,3.323837362983027788e+01
1.362162162162162282e+01,5.354884291380127559e-01,3.321280132149998110e+01
1.459459459459459474e+01,5.986719611444386580e-01,3.323983829644753740e+01
1.556756756756756843e+01,7.621479473265528881e-01,3.322145916541094124e+01
1.654054054054054035e+01,7.962192644247201301e-01,3.321196775846340898e+01
1.751351351351351582e+01,7.161822067896205235e-01,3.322311150915152922e+01
1.848648648648648773e+01,6.321775891264154179e-01,3.322153336139604818e+01
1.945945945945945965e+01,5.426080718803003577e-01,3.321467441838371570e+01
2.043243243243243512e+01,5.775911386825861582e-01,3.322106081582145265e+01
2.140540540540540704e+01,7.460640094746929796e-01,3.323018575105469807e+01
2.237837837837837895e+01,8.006655101764961202e-01,3.320525834058473436e+01
2.335135135135135442e+01,7.319576761286241684e-01,3.323272599371478009e+01
2.432432432432432634e+01,6.430726893341350836e-01,3.321431538830766073e+01
2.529729729729729826e+01,5.415349810945577769e-01,3.322368319085492772e+01
2.627027027027027017e+01,5.628360132068712662e-01,3.321149129729726468e+01
2.724324324324324564e+01,7.144622218297190797e-01,3.324616043442037494e+01
2.821621621621621756e+01,7.950220880686004188e-01,3.319326485155576734e+01
2.918918918918918948e+01,7.452055188645183570e-01,3.323946531971525076e+01
3.016216216216216495e+01,6.548632944072784179e-01,3.321440526620506972e+01
3.113513513513513686e+01,5.529288648283651186e-01,3.323751186313619144e+01
3.210810810810811233e+01,5.480240438200950637e-01,3.320133004289372280e+01
3.308108108108108070e+01,6.817147960826465125e-01,3.326367028996538266e+01
3.405405405405405617e+01,7.906591271881155958e-01,3.319185748595116081e+01
3.502702702702703164e+01,7.687280266782472449e-01,3.324204996068642970e+01
