metric,value,criterion,limit,passed
psi_d0_positive,0.03201491158003713,>,0.0,True
psi_q0_rms_over_psi_d0,0.002246535496554347,<=,0.05,True
torque_symmetry_error,0.0006195504384229555,<=,0.1,True
torque_slope_relative_error,0.004747854076145896,<=,0.2,True
ld_lq_saliency_ratio,0.025177750344336506,<=,0.2,True
load_to_cogging_ratio,29.923436829737273,>=,5.0,True
psi_pm_wb,0.03201491158003713,report,nan,True
torque_slope_nm_per_a,0.4825037056271979,report,nan,True
expected_torque_slope_nm_per_a,0.48022367370055696,report,nan,True
ld_mean_h,0.0009660890764148228,report,nan,True
lq_mean_h,0.0009420675310741955,report,nan,True
cogging_peak_to_peak_nm,0.016124608559258007,report,nan,True
loaded_torque_mean_nm,0.4825037056271979,report,nan,True
