angle_deg,Bn_T,Bt_T
0.000000000000000000e+00,5.817617966548631614e-01,1.324988305750418940e-03
1.000000000000000000e+00,5.712660426179263506e-01,1.143109511426670249e-02
2.000000000000000000e+00,5.395771708040835168e-01,4.744469194650743904e-02
3.000000000000000000e+00,5.305213357842191169e-01,1.458644806779157699e-01
4.000000000000000000e+00,5.906816083107198079e-01,2.718324857268094030e-01
5.000000000000000000e+00,7.539425248789139999e-01,4.049679897482708624e-01
6.000000000000000000e+00,9.992000842914855463e-01,2.910727731011350516e-01
7.000000000000000000e+00,8.146672266918965066e-01,1.799736002440509020e-01
8.000000000000000000e+00,3.205220185831579305e-01,1.796555414883861390e-01
9.000000000000000000e+00,8.731678600706635485e-02,8.385211369739070664e-02
1.000000000000000000e+01,-1.316983925085464802e-01,1.734075148983457715e-01
1.100000000000000000e+01,-5.831224465279138958e-01,1.274534610044630034e-01
1.200000000000000000e+01,-7.496898349154980101e-01,5.335827368378877333e-02
1.300000000000000000e+01,-8.390976500918853054e-01,5.149285850873186465e-02
1.400000000000000000e+01,-9.145017206682518607e-01,1.909434344010056961e-01
1.500000000000000000e+01,-6.632838808974200751e-01,3.083337793385982906e-01
1.600000000000000000e+01,-5.212464251741660837e-01,1.813096625320760047e-01
1.700000000000000000e+01,-5.003342472632608118e-01,6.519140163511638608e-02
1.800000000000000000e+01,-5.296201734845246145e-01,1.523632468990313016e-02
1.900000000000000000e+01,-5.447671157104964079e-01,2.667081751142635904e-03
2.000000000000000000e+01,-5.435315892371168633e-01,-4.008179864336991471e-03
2.100000000000000000e+01,-5.259416818162656604e-01,-1.571254811032643528e-02
2.200000000000000000e+01,-4.887669840123559650e-01,-6.003182117870781154e-02
2.300000000000000000e+01,-4.732340519574255167e-01,-1.674249135090156160e-01
2.400000000000000000e+01,-4.982435719177316091e-01,-3.058343172567012935e-01
2.500000000000000000e+01,-5.461389651163690573e-01,-4.858491323932540018e-01
2.600000000000000000e+01,-3.525391411153532828e-01,-3.220890868371137916e-01
2.700000000000000000e+01,-5.386049446258702605e-02,-1.055900039499405169e-01
2.800000000000000000e+01,1.832981715959945135e-01,-1.691690079784921030e-01
2.900000000000000000e+01,6.460448777831986344e-01,-1.318175253682569159e-01
3.000000000000000000e+01,8.087008637839374625e-01,-4.482380665160373701e-02
3.100000000000000000e+01,8.719808119774581368e-01,-2.128858621636869897e-02
3.200000000000000000e+01,9.100331116217234007e-01,-1.920164592783607516e-02
3.300000000000000000e+01,9.594639092330272678e-01,-4.493259528577459028e-02
3.400000000000000000e+01,1.005826386516757154e+00,-2.134201399326386972e-01
3.500000000000000000e+01,7.276672547094784615e-01,-3.260559045946284096e-01
3.600000000000000000e+01,5.735790558884223955e-01,-1.827714785587543633e-01
3.700000000000000000e+01,5.584336038136314961e-01,-5.849059050293339834e-02
3.800000000000000000e+01,5.912155593474963666e-01,-1.181000660675607383e-02
3.900000000000000000e+01,5.988773707908563448e-01,1.723111880763128489e-03
4.000000000000000000e+01,5.841609310996086490e-01,1.447969612857596955e-02
4.100000000000000000e+01,5.384651274034321089e-01,5.075550304976539362e-02
4.200000000000000000e+01,4.727644064501695942e-01,1.674732985678908936e-01
4.300000000000000000e+01,4.019700586855825541e-01,3.583576691452929897e-01
4.400000000000000000e+01,1.098365082075802301e-01,4.435328403177098977e-01
4.500000000000000000e+01,5.967201505647451443e-02,3.218735599245480805e-01
4.600000000000000000e+01,-6.529978084013687845e-02,2.261288310139584756e-01
4.700000000000000000e+01,-5.763883889453420561e-01,1.386282215748723401e-01
4.800000000000000000e+01,-7.433549680507146595e-01,4.669442084817543304e-02
4.900000000000000000e+01,-8.069256752406459565e-01,1.883541816383144107e-02
5.000000000000000000e+01,-8.340653512833786642e-01,9.504375338438675325e-03
5.100000000000000000e+01,-8.503424297753059413e-01,6.806743926486558127e-03
5.200000000000000000e+01,-8.664300882618959365e-01,1.033605387011432564e-02
5.300000000000000000e+01,-8.984890478680392922e-01,3.080629499296200224e-02
5.400000000000000000e+01,-9.409793672730581982e-01,1.666774327909634201e-01
5.500000000000000000e+01,-6.903436711374166812e-01,2.584265305588819284e-01
5.600000000000000000e+01,-5.780653255550532998e-01,1.011998429775186892e-01
5.700000000000000000e+01,-6.052241094843289204e-01,1.856968722401136640e-02
5.800000000000000000e+01,-6.143521942289498217e-01,-3.985821996904115316e-03
5.900000000000000000e+01,-5.863634889573023923e-01,-2.499276973831410231e-02
6.000000000000000000e+01,-5.050579053044444988e-01,-8.713838101078333342e-02
6.100000000000000000e+01,-3.772509347083758402e-01,-2.741434095049046782e-01
6.200000000000000000e+01,-5.635030466993773413e-02,-3.614890177921784575e-01
6.300000000000000000e+01,4.542623552821400956e-02,-2.617213363174054064e-01
6.400000000000000000e+01,1.773128383770019023e-01,-2.867807659794395225e-01
6.500000000000000000e+01,6.107832958703622861e-01,-1.591884191143037586e-01
6.600000000000000000e+01,7.902906952915036420e-01,-5.133775181956212741e-02
6.700000000000000000e+01,8.562209030207275084e-01,-1.902511820948982191e-02
6.800000000000000000e+01,8.832947183014956405e-01,-8.022246079549932851e-03
6.900000000000000000e+01,8.959290243802100484e-01,-3.921622876478736419e-03
7.000000000000000000e+01,9.026021081246043964e-01,-2.530818294317782602e-03
7.100000000000000000e+01,9.082505381910244147e-01,-3.328286383788126024e-03
7.200000000000000000e+01,9.181872109176888452e-01,-7.540507947024377433e-03
7.300000000000000000e+01,9.433015262554522717e-01,-2.605761900038550127e-02
7.400000000000000000e+01,9.711990551880651523e-01,-1.449570757018912859e-01
7.500000000000000000e+01,7.287731144314841814e-01,-1.945070021420473583e-01
7.600000000000000000e+01,6.807618413221778741e-01,-3.802122903614196803e-02
7.700000000000000000e+01,6.864136530809897829e-01,9.781010726470945604e-03
7.800000000000000000e+01,6.296183458178925552e-01,4.992792414760935382e-02
7.900000000000000000e+01,4.574440527477927620e-01,1.900686681239421583e-01
8.000000000000000000e+01,8.953955885636126488e-02,2.994871527630976193e-01
8.100000000000000000e+01,-2.917348312013116202e-02,2.217933451656722843e-01
8.200000000000000000e+01,-1.616444186520514248e-01,2.686941323305054308e-01
8.300000000000000000e+01,-5.934576435121822202e-01,1.457034142601326132e-01
8.400000000000000000e+01,-7.596760126458019791e-01,4.093317755085486287e-02
8.500000000000000000e+01,-8.075143999894260904e-01,-2.984234631454955183e-02
8.600000000000000000e+01,-9.348691722737345611e-01,-5.388791981474634618e-02
8.700000000000000000e+01,-9.357988148882051549e-01,-6.527006778613758664e-03
8.800000000000000000e+01,-9.309474804430379891e-01,-1.326131934753983777e-03
8.900000000000000000e+01,-9.298242363039905811e-01,-1.661729670244145585e-04
9.000000000000000000e+01,-9.295477157146508906e-01,4.130968762705302207e-05
9.100000000000000000e+01,-9.298252321968313305e-01,1.896620093769889326e-04
9.200000000000000000e+01,-9.308403318022598905e-01,1.249126249332224714e-03
9.300000000000000000e+01,-9.356133738817574708e-01,6.467951419300878302e-03
9.400000000000000000e+01,-9.329410486003462122e-01,5.474641178295743676e-02
9.500000000000000000e+01,-8.069617527857541051e-01,3.045994170159545267e-02
9.600000000000000000e+01,-7.584764369447423160e-01,-4.157962049056122822e-02
9.700000000000000000e+01,-5.915372464077617298e-01,-1.532916900389003356e-01
9.800000000000000000e+01,-1.626608605502911364e-01,-2.659472075842487238e-01
9.900000000000000000e+01,-3.014247435781703538e-02,-2.213985835737903585e-01
1.000000000000000000e+02,8.795368550891587145e-02,-3.055505143372587162e-01
1.010000000000000000e+02,4.640310946104656553e-01,-1.931053567045465102e-01
1.020000000000000000e+02,6.293945075161295755e-01,-5.259487736199286445e-02
1.030000000000000000e+02,6.876247785242318722e-01,-9.398360458943044726e-03
1.040000000000000000e+02,6.798258047886520661e-01,3.858496004781636346e-02
1.050000000000000000e+02,7.290943854747533592e-01,1.934906297198032421e-01
1.060000000000000000e+02,9.692473856086852857e-01,1.449929340080652052e-01
1.070000000000000000e+02,9.441303149110392701e-01,2.625667854649438304e-02
1.080000000000000000e+02,9.188406950273478868e-01,7.762917240345945658e-03
1.090000000000000000e+02,9.086788077641596573e-01,3.331428692703475303e-03
1.100000000000000000e+02,9.026610221157678193e-01,2.813976824879826921e-03
1.110000000000000000e+02,8.961530130716724996e-01,3.908386221121495918e-03
1.120000000000000000e+02,8.843588910446054108e-01,8.284711664286126265e-03
1.130000000000000000e+02,8.575569698809312191e-01,1.881844424293915852e-02
1.140000000000000000e+02,7.937047067353977248e-01,4.838085136245723339e-02
1.150000000000000000e+02,6.159743141851551362e-01,1.518672391895273255e-01
1.160000000000000000e+02,1.760353476347841228e-01,2.699761096945765826e-01
1.170000000000000000e+02,3.989842025056770936e-02,2.460757732491644090e-01
1.180000000000000000e+02,-6.281923739535891227e-02,3.457347588984739373e-01
1.190000000000000000e+02,-4.049274894491791676e-01,2.540669156220730085e-01
1.200000000000000000e+02,-5.436700650623227382e-01,7.588282088630018962e-02
1.210000000000000000e+02,-6.182118753634815445e-01,2.138671671038261390e-02
1.220000000000000000e+02,-6.402291668777826406e-01,7.361763162732626320e-04
1.230000000000000000e+02,-6.226909270677938313e-01,-3.027085575159721431e-02
1.240000000000000000e+02,-6.048918712870390291e-01,-1.435874991976093806e-01
1.250000000000000000e+02,-7.433116867534745875e-01,-3.000885216670841626e-01
1.260000000000000000e+02,-1.014982313618639997e+00,-2.051729312309732434e-01
1.270000000000000000e+02,-9.881438678750629201e-01,-4.069560701124697033e-02
1.280000000000000000e+02,-9.483529475519405505e-01,-1.307796800544064331e-02
1.290000000000000000e+02,-9.299672715112723420e-01,-7.922140364282348468e-03
1.300000000000000000e+02,-9.134874410974949122e-01,-9.605720597378519798e-03
1.310000000000000000e+02,-8.860059336094712190e-01,-1.892709809546011535e-02
1.320000000000000000e+02,-8.231866032104675490e-01,-4.706468140497832575e-02
1.330000000000000000e+02,-6.546838748514253181e-01,-1.370802394559842430e-01
1.340000000000000000e+02,-1.674411055848590013e-01,-2.234375462613251706e-01
1.350000000000000000e+02,-5.113574445633345400e-03,-2.746097764490978976e-01
1.360000000000000000e+02,7.764863525492027296e-02,-4.085995598084238845e-01
1.370000000000000000e+02,3.766045630440831848e-01,-3.179306762469916725e-01
1.380000000000000000e+02,4.546359128221676427e-01,-1.391689289085956127e-01
1.390000000000000000e+02,5.301353218328006545e-01,-3.869925898644360762e-02
1.400000000000000000e+02,5.707130612257869107e-01,-1.166774169354994894e-02
1.410000000000000000e+02,5.818533961227259077e-01,1.351378114009538223e-04
1.420000000000000000e+02,5.702117630239978974e-01,1.499085012356871083e-02
1.430000000000000000e+02,5.400317948355944919e-01,7.495702045272170655e-02
1.440000000000000000e+02,5.668070166318610603e-01,2.001334895952764370e-01
1.450000000000000000e+02,7.250966384073388449e-01,3.352965801130566859e-01
1.460000000000000000e+02,1.000464215617303365e+00,2.174132880586617245e-01
1.470000000000000000e+02,9.620012526714325496e-01,4.727518105800060377e-02
1.480000000000000000e+02,9.122302143064825453e-01,1.980419284463974527e-02
1.490000000000000000e+02,8.724333116854763315e-01,2.174210966350315077e-02
1.500000000000000000e+02,8.083399990487497577e-01,4.387704587792118360e-02
1.510000000000000000e+02,6.451075512469798268e-01,1.275725257528854961e-01
1.520000000000000000e+02,1.934711441276262822e-01,1.659203772086880746e-01
1.530000000000000000e+02,-4.845764194104237171e-02,1.029943335096851903e-01
1.540000000000000000e+02,-3.300123820329936564e-01,3.254827889325873080e-01
1.550000000000000000e+02,-5.477217928616553433e-01,4.601217387452160024e-01
1.560000000000000000e+02,-5.104715784082517471e-01,2.782038430850504174e-01
