t_s,torque_cmd_nm,torque_em_nm,copper_loss_w,core_loss_w,magnet_loss_w,total_loss_w,temp_c,phase_res_ohm
0.000000000000000000e+00,1.800000000000000000e+01,2.160000000000000142e+00,1.692227078014888475e-01,1.317234411238552639e+03,2.195390685397587276e+03,3.512794319343941424e+03,2.500013510747382028e+01,2.349162365454545570e-02
1.000000000000000048e-04,1.800502654692281013e+01,4.061403185630737767e+00,5.982787453147226930e-01,1.326558126189552013e+03,2.211034396309251861e+03,3.538190801244118575e+03,2.500027119172385781e+01,2.349163588756966389e-02
2.000000000000000096e-04,1.801005308590801590e+01,5.735241173664011427e+00,1.193039882750144942e+00,1.334806313733241495e+03,2.224886853840269396e+03,3.560886207456261218e+03,2.500040814886250473e+01,2.349164820903404047e-02
3.000000000000000279e-04,1.801507960901802718e+01,7.208821785906494028e+00,1.884865647626501550e+00,1.342101988957074809e+03,2.237152858645080869e+03,3.581139713249782289e+03,2.500054588497043895e+01,2.349166060953229371e-02
4.000000000000000192e-04,1.802010610831527515e+01,8.506175904595547621e+00,2.624344052345367384e+00,1.348554760209599863e+03,2.248014901259542967e+03,3.599194005521488180e+03,2.500068431546245762e+01,2.349167308056069464e-02
5.000000000000000104e-04,1.802513257586223716e+01,9.648450705147549655e+00,3.376505394631326595e+00,1.354262133391058796e+03,2.257635331163691262e+03,3.615273969949381353e+03,2.500082336440281239e+01,2.349168561446065076e-02
6.000000000000000559e-04,1.803015900372142966e+01,1.065425570097641561e+01,4.117169503162449118e+00,1.359310728277304406e+03,2.266158379806929588e+03,3.629586277587396580e+03,2.500096296380465333e+01,2.349169820435672434e-02
6.999999999999999929e-04,1.803518538395543658e+01,1.153996726293389763e+01,4.830164295177272749e+00,1.363777401988625115e+03,2.273712029397182505e+03,3.642319595680985003e+03,2.500110305293756596e+01,2.349171084409317975e-02
8.000000000000000383e-04,1.804021170862692358e+01,1.231999659641706124e+01,5.505213419839287248e+00,1.367730278783118365e+03,2.280409726035147287e+03,3.653645218238104917e+03,2.500124357765937333e+01,2.349172352817131826e-02
9.000000000000000838e-04,1.804523796979863093e+01,1.300702556122285003e+01,6.136337060940694421e+00,1.371229688149110643e+03,2.286351940434309199e+03,3.663717965644360447e+03,2.500138448978253081e+01,2.349173625168893970e-02
1.000000000000000021e-03,1.805026415953340901e+01,1.361221419302011526e+01,6.720645745955464712e+00,1.374329015022687827e+03,2.291627582556055131e+03,3.672677243324698338e+03,2.500152574648124926e+01,2.349174901028300635e-02
1.100000000000000066e-03,1.805529026989422192e+01,1.414538332224501183e+01,7.257434639973252999e+00,1.377075467114908861e+03,2.296315278423476684e+03,3.680648180178358871e+03,2.500166730974238760e+01,2.349176180007595330e-02
